City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Lagoa,PT,39.05,-27.9833,62.47,63,36,17.29,scattered clouds
321,Griffith,US,41.5284,-87.4237,28.6,54,90,8.05,overcast clouds
322,Jaragua,BR,-15.7569,-49.3344,75.42,74,24,1.39,few clouds
323,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,54,20,17.27,few clouds
324,Solnechnyy,RU,50.7214,136.6319,21.96,84,26,3.36,scattered clouds
325,Moindou,NC,-21.6924,165.677,89.55,63,54,8.77,broken clouds
326,Vaitape,PF,-16.5167,-151.75,81.59,74,12,17.67,few clouds
327,Songkhla,TH,6.8333,100.6667,77.05,87,94,6.62,overcast clouds
328,Dunedin,NZ,-45.8742,170.5036,49.3,75,100,3.42,overcast clouds
329,Bhimunipatnam,IN,17.8833,83.4333,76.51,81,100,10.2,overcast clouds
330,Hokitika,NZ,-42.7167,170.9667,58.01,97,100,9.93,overcast clouds
331,Makakilo City,US,21.3469,-158.0858,80.92,51,90,0.0,overcast clouds
332,Erzin,TR,36.9559,36.2,52.52,75,33,3.33,scattered clouds
333,Samarai,PG,-10.6167,150.6667,84.58,70,99,8.3,overcast clouds
334,Teya,RU,60.3778,92.6267,4.46,91,100,9.44,overcast clouds
335,Yulara,AU,-25.2406,130.9889,75.04,29,0,11.5,clear sky
336,Naze,JP,28.3667,129.4833,65.32,54,100,17.87,overcast clouds
337,Ariano Irpino,IT,41.1489,15.0833,47.89,81,36,19.53,scattered clouds
338,Agadez,NE,19.75,10.25,69.48,22,19,2.39,few clouds
339,Orshanka,RU,56.9161,47.8933,30.24,94,100,13.49,overcast clouds
340,Yuzhno-Kurilsk,RU,44.0306,145.8556,39.02,78,72,20.29,broken clouds
341,Vodnyy,RU,63.5046,53.4095,28.71,98,98,6.13,light snow
342,Barao De Melgaco,BR,-16.1944,-55.9675,82.92,93,100,3.58,overcast clouds
343,Palmer,US,42.1584,-72.3287,36.21,69,75,13.8,snow
