City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
650,Samana,DO,75.2,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
653,Yangjiang,CN,70.39,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
655,Cupira,BR,70.34,scattered clouds,-8.6167,-35.95,Hotel Farm Home to Glory
662,Jizan,SA,79.74,clear sky,17.3333,42.6667,شهدان. ابوالحجر
670,Tual,ID,83.55,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
671,Santa Cruz,BO,72.86,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
674,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
677,Manokwari,ID,84.56,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
678,Hervey Bay,AU,84.31,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
683,Manzanillo,CU,70.41,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
689,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
690,Ixtapa,MX,70.43,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
691,Joao Pinheiro,BR,72.16,overcast clouds,-17.7425,-46.1725,Hotel Santos
692,Cockburn Town,TC,78.76,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
695,Prainha,BR,79.86,overcast clouds,-1.8,-53.48,Casa Rocha
