City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Itanagar,IN,2021-11-25 16:18:00,27.1,93.6167,59.22,69,15,4.7
157,Hofn,IS,2021-11-25 16:18:01,64.2539,-15.2082,41.02,52,20,19.57
158,Mushie,CD,2021-11-25 16:18:01,-3.0167,16.9,76.3,93,70,2.91
159,Necochea,AR,2021-11-25 16:18:01,-38.5473,-58.7368,70.03,68,100,9.86
160,Vao,NC,2021-11-25 16:18:02,-22.6667,167.4833,73.72,86,100,15.3
161,Wembley,AU,2021-11-25 16:17:47,-31.9333,115.8,74.08,46,1,8.05
162,Columbus,US,2021-11-25 16:13:51,39.9612,-82.9988,46.92,91,90,1.01
163,Isangel,VU,2021-11-25 16:18:02,-19.55,169.2667,75.61,84,50,3.89
164,Kalmunai,LK,2021-11-25 16:18:03,7.4167,81.8167,77.14,91,100,6.24
165,Jinchang,CN,2021-11-25 16:18:03,38.4953,102.1739,34.23,28,7,3.22
166,Caravelas,BR,2021-11-25 16:18:03,-17.7125,-39.2481,82.11,54,37,8.79
167,Yumen,CN,2021-11-25 16:18:04,40.2833,97.2,29.19,33,3,7.54
168,Chokurdakh,RU,2021-11-25 16:18:04,70.6333,147.9167,-31.09,100,40,5.35
169,Valparaiso,CL,2021-11-25 16:13:58,-33.0393,-71.6273,73.63,52,0,5.75
170,Tuensang,IN,2021-11-25 16:18:05,26.2833,94.8333,53.1,93,1,3.56
171,New Norfolk,AU,2021-11-25 16:18:05,-42.7826,147.0587,47.7,60,36,1.01
172,Loralai,PK,2021-11-25 16:18:05,30.3705,68.598,57.24,28,0,5.66
173,Avarua,CK,2021-11-25 16:18:06,-21.2078,-159.775,75.25,94,20,4.61
174,Qinhuangdao,CN,2021-11-25 16:16:32,39.9317,119.5883,39.43,42,0,3.65
175,Kungurtug,RU,2021-11-25 16:18:06,50.5994,97.5228,14.38,88,70,2.86
176,Itarema,BR,2021-11-25 16:18:06,-2.9248,-39.9167,89.91,53,89,17.78
177,Conde,BR,2021-11-25 16:18:07,-7.2597,-34.9075,89.06,55,75,10.36
178,Narsaq,GL,2021-11-25 16:18:07,60.9167,-46.05,34.02,99,100,4.99
179,Bucerias,MX,2021-11-25 16:18:08,20.75,-105.3333,78.98,56,1,6.91
180,Ribeira Brava,PT,2021-11-25 16:18:08,32.65,-17.0667,69.71,61,90,4.65
181,Vershino-Shakhtaminskiy,RU,2021-11-25 16:19:08,51.3012,117.8868,-6.16,92,30,1.97
182,Poum,NC,2021-11-25 16:19:09,-20.2333,164.0167,76.84,73,1,4.99
183,Carutapera,BR,2021-11-25 16:19:09,-1.195,-46.02,87.53,61,98,9.69
184,Juneau,US,2021-11-25 16:19:09,58.3019,-134.4197,35.6,93,90,5.75
185,Kutum,SD,2021-11-25 16:19:10,14.2,24.6667,72.66,12,0,10.42
186,Budogoshch,RU,2021-11-25 16:19:10,59.2816,32.4707,38.48,95,100,13.18
187,East London,ZA,2021-11-25 16:19:10,-33.0153,27.9116,63.54,77,40,16.11
188,Beringovskiy,RU,2021-11-25 16:19:11,63.05,179.3167,-11.54,91,47,9.19
189,Jizan,SA,2021-11-25 16:19:11,17.3333,42.6667,85.14,58,10,5.97
190,Sioux Lookout,CA,2021-11-25 16:19:11,50.1001,-91.917,6.87,72,75,14.97
191,Bella Union,UY,2021-11-25 16:19:12,-30.2752,-57.6007,66.94,95,100,8.7
192,Kamina,CD,2021-11-25 16:19:12,-8.7386,24.9906,70.03,82,76,4.03
193,Amli,IN,2021-11-25 16:19:12,20.2833,73.0167,76.87,47,36,5.23
194,Dikson,RU,2021-11-25 16:19:13,73.5069,80.5464,0.88,92,100,5.61
195,Foz,ES,2021-11-25 16:15:44,43.5692,-7.2544,52.93,88,97,11.54
196,Sayyan,YE,2021-11-25 16:19:13,15.1718,44.3244,57.83,32,56,7.58
197,Mahebourg,MU,2021-11-25 16:19:13,-20.4081,57.7,79.09,73,40,3.44
198,Tiksi,RU,2021-11-25 16:19:14,71.6872,128.8694,-4.43,84,100,6.08
199,Fabiansebestyen,HU,2021-11-25 16:19:14,46.6833,20.4667,47.03,67,8,9.44
200,Kolhapur,IN,2021-11-25 16:19:14,16.7,74.2167,73.44,64,1,3.62
201,Bria,CF,2021-11-25 16:19:15,6.5423,21.9863,81.45,35,49,2.64
202,Namtsy,RU,2021-11-25 16:19:15,62.7161,129.6658,-16.49,99,85,1.01
203,Vila,PT,2021-11-25 16:19:15,42.0304,-8.1588,47.32,74,70,7.43
204,Vanavara,RU,2021-11-25 16:19:16,60.34,102.2797,7.27,99,96,2.66
205,Lagunas,PE,2021-11-25 16:19:16,-5.2269,-75.6753,77.63,84,100,1.86
206,Sagua La Grande,CU,2021-11-25 16:19:16,22.8067,-80.0756,79.79,62,96,10.27
207,Brownsville,US,2021-11-25 16:19:16,25.9018,-97.4975,78.8,83,90,1.99
208,Capoterra,IT,2021-11-25 16:19:17,39.1763,8.9718,56.57,83,40,8.05
209,Sorland,NO,2021-11-25 16:19:17,67.667,12.6934,30.06,63,95,9.33
210,Tautira,PF,2021-11-25 16:19:17,-17.7333,-149.15,78.82,75,40,15.41
211,Bonavista,CA,2021-11-25 16:19:18,48.6499,-53.1147,48.2,98,100,23.17
212,Seymchan,RU,2021-11-25 16:19:18,62.8833,152.4333,-34.33,100,94,0.34
213,Verkhoyansk,RU,2021-11-25 16:19:19,67.5447,133.385,-35.03,99,100,1.36
214,Liaocheng,CN,2021-11-25 16:19:19,36.4439,115.9647,45.28,47,0,1.68
215,Kichera,RU,2021-11-25 16:19:19,55.9375,110.0997,14.83,91,100,4.34
216,Rawson,AR,2021-11-25 16:19:19,-43.3002,-65.1023,76.01,22,15,22.73
217,Canutama,BR,2021-11-25 16:19:20,-6.5339,-64.3831,84.25,78,93,1.16
218,Skjervoy,NO,2021-11-25 16:19:20,70.0311,20.9714,15.8,49,100,12.15
219,Yantal,RU,2021-11-25 16:19:20,56.8471,105.2542,17.53,97,100,4.41
220,Cherskiy,RU,2021-11-25 16:19:21,68.75,161.3,-21.26,100,100,2.71
